"","Symbol","HET_ZN_E138_17_S23_rev.normalised","HET_ZN_E141_15_S21_rev.normalised","HET_ZN_E142_19_S25_rev.normalised","HET_ZN_E181_23_S29_rev.normalised","HET_ZN_E54_3_S9_rev.normalised","HET_ZN_E55_7_S13_rev.normalised","HET_ZN_E79_11_S17_rev.normalised","WT_ZN_E158_21_S27_rev.normalised","WT_ZN_E56_1_S7_rev.normalised","WT_ZN_E81_5_S11_rev.normalised","WT_ZN_E82_9_S15_rev.normalised","WT_ZN_E83_13_S19_rev.normalised","gene_symbol"
"43428","Rspry1",472.2,452.7,476.8,414.7,435.8,374.2,403.7,456.6,394.2,394.7,380.1,483.5,"RSPRY1"
"43429","Rsrc1",769.9,726,827.3,701.2,774.4,650.6,729.9,818.8,816.8,719.4,677.4,703.9,"RSRC1"
"43430","Rsrc2",2600.9,2491.9,3479,2471.1,2578.2,2122,2445,3898.9,2669.8,2550,2506.1,2483.1,"RSRC2"
"43431","Rsrp1",4567.4,4963,4009.4,4264.6,5508.4,6143.9,6061.3,3867.1,5640.3,5026.1,5929.7,4383.2,"RSRP1"
"43432","Rsu1",476,498.6,556.2,624.1,532.9,553.9,577.8,577,504.9,510.6,481.2,530.9,"RSU1"
"43433","Rtbdn",49.3,58,45.2,47.9,58.3,51,59,68.6,69.1,64,43.9,51.2,"RTBDN"
"43434","Rtca",539.5,523.7,441.8,386.3,471,507.1,620.2,452.7,524.2,593.5,584.8,532.8,"RTCA"
"43435","Rtcb",1634.7,1685,1532.9,1489.2,1644.7,1760.6,1776.8,1331.1,1648.8,1827.6,1652.1,1595.5,"RTCB"
"43436","Rtel1",572.7,544.5,514.7,591.6,526.8,656,660.8,542.2,633.9,573.6,662.8,582.1,"RTEL1"
"43437","Rtf1",2377.1,2232.8,3040,2494.7,2603.7,2245.4,2146.4,2994.6,2544.8,2549,2310,2330.3,"RTF1"
"43438","Rtfdc1",1146.4,1086.9,698.2,874.8,1062.1,1180.1,1120.7,803.9,1316.6,1240,1157.4,1077.2,"RTFDC1"
"43439","Rtkn",1529.4,1283.7,1277.4,1397.5,1399.5,1667,1258,1178.9,1347.1,1382.9,1454.7,1655.4,"RTKN"
"43440","Rtkn2",66.4,60.1,61.8,60.9,70.4,65.9,65.4,88.5,52.8,64.9,73.1,71.6,"RTKN2"
"43441","Rtl1",7.6,13.1,12.9,29.2,8.5,8.5,16.6,5,18.3,9,4.9,5.8,"RTL1"
"43442","Rtn1",15167.1,13808.8,14973,14218.2,16571.2,17154.9,17555.5,15756.9,16031.9,19276,18135,14800,"RTN1"
"43443","Rtn2",1535.1,1421.4,1311.5,1656.4,1608.3,1888.1,1564.9,1219.7,2208.6,2055.4,1711.8,1495.9,"RTN2"
"43444","Rtn3",22271.8,20993.7,21413.6,20855.7,23317.7,20545.3,21363.5,20681.5,22941,23052.1,20521.8,20189.8,"RTN3"
"43445","Rtn4",8654.1,8118.6,11981,7523,8977.5,6670.2,8056.6,12336.5,8763.1,8239.6,7213.8,7962.8,"RTN4"
